image,leaf_count,shoot_count,root_count,height_cm,width_cm,area_cm2,expert_verdict,note
001.jpg,,16.0,18.0,5.8,,,พร้อมอนุบาล,leaf>30/นับไม่ไหว; หลายต้น-วัดกว้างไม่ได้
002.jpg,,14.0,20.0,5.7,,,พร้อมอนุบาล,leaf>30/นับไม่ไหว; หลายต้น-วัดกว้างไม่ได้
003.jpg,,18.0,20.0,5.8,,,พร้อมอนุบาล,leaf>30/นับไม่ไหว; หลายต้น-วัดกว้างไม่ได้
004.jpg,,13.0,13.0,6.0,,,พร้อมอนุบาล,leaf>30/นับไม่ไหว; หลายต้น-วัดกว้างไม่ได้
005.jpg,,15.0,15.0,5.5,,,พร้อมอนุบาล,leaf>30/นับไม่ไหว; หลายต้น-วัดกว้างไม่ได้
006.jpg,,25.0,25.0,5.7,,,พร้อมอนุบาล,leaf>30/นับไม่ไหว; หลายต้น-วัดกว้างไม่ได้
007.jpg,,16.0,18.0,6.0,,,พร้อมอนุบาล,leaf>30/นับไม่ไหว; หลายต้น-วัดกว้างไม่ได้
008.jpg,,17.0,22.0,6.2,,,พร้อมอนุบาล,leaf>30/นับไม่ไหว; หลายต้น-วัดกว้างไม่ได้
009.jpg,,23.0,25.0,6.5,,,พร้อมอนุบาล,leaf>30/นับไม่ไหว; หลายต้น-วัดกว้างไม่ได้
010.jpg,,22.0,22.0,5.8,,,พร้อมอนุบาล,leaf>30/นับไม่ไหว; หลายต้น-วัดกว้างไม่ได้
011.jpg,,22.0,25.0,5.9,,,ยังไม่พร้อม,leaf>30/นับไม่ไหว; หลายต้น-วัดกว้างไม่ได้
012.jpg,,19.0,21.0,5.9,,,ยังไม่พร้อม,leaf>30/นับไม่ไหว; หลายต้น-วัดกว้างไม่ได้
013.jpg,,17.0,17.0,5.5,,,ยังไม่พร้อม,leaf>30/นับไม่ไหว; หลายต้น-วัดกว้างไม่ได้
014.jpg,,14.0,14.0,5.2,,,ยังไม่พร้อม,leaf>30/นับไม่ไหว; หลายต้น-วัดกว้างไม่ได้
015.jpg,,15.0,18.0,5.9,,,ยังไม่พร้อม,leaf>30/นับไม่ไหว; หลายต้น-วัดกว้างไม่ได้
016.jpg,,18.0,18.0,5.4,,,ยังไม่พร้อม,leaf>30/นับไม่ไหว; หลายต้น-วัดกว้างไม่ได้
017.jpg,,20.0,20.0,5.8,,,ยังไม่พร้อม,leaf>30/นับไม่ไหว; หลายต้น-วัดกว้างไม่ได้
018.jpg,,20.0,25.0,5.3,,,ยังไม่พร้อม,leaf>30/นับไม่ไหว; หลายต้น-วัดกว้างไม่ได้
019.jpg,,22.0,24.0,5.3,,,ยังไม่พร้อม,leaf>30/นับไม่ไหว; หลายต้น-วัดกว้างไม่ได้
020.jpg,,14.0,17.0,5.8,,,ยังไม่พร้อม,leaf>30/นับไม่ไหว; หลายต้น-วัดกว้างไม่ได้
021.jpg,3.0,1.0,3.0,1.5,1.0,1.05,ยังไม่พร้อม,ok
022.jpg,6.0,1.0,4.0,3.8,1.2,3.19,พร้อมอนุบาล,ok
023.jpg,5.0,1.0,4.0,3.1,1.5,3.26,พร้อมอนุบาล,ok
024.jpg,4.0,1.0,8.0,3.5,2.0,4.9,พร้อมอนุบาล,ok
025.jpg,3.0,1.0,6.0,2.0,2.7,3.78,พร้อมอนุบาล,ok
026.jpg,4.0,1.0,7.0,1.8,2.5,3.15,พร้อมอนุบาล,ok
027.jpg,5.0,1.0,5.0,1.3,2.2,2.0,พร้อมอนุบาล,ok
028.jpg,3.0,1.0,2.0,3.0,2.6,5.46,พร้อมอนุบาล,ok
029.jpg,6.0,1.0,4.0,1.8,2.1,2.65,พร้อมอนุบาล,ok
030.jpg,0.0,1.0,1.0,1.5,2.0,2.1,ยังไม่พร้อม,ok
031.jpg,4.0,1.0,4.0,3.0,1.8,3.78,พร้อมอนุบาล,ok
032.jpg,5.0,1.0,2.0,3.2,1.4,3.14,พร้อมอนุบาล,ok
033.jpg,1.0,1.0,1.0,2.8,1.6,3.14,ยังไม่พร้อม,ok
034.jpg,4.0,1.0,2.0,2.7,1.0,1.89,ยังไม่พร้อม,ok
035.jpg,5.0,1.0,1.0,4.1,2.0,5.74,พร้อมอนุบาล,ok
036.jpg,4.0,1.0,3.0,4.0,2.6,7.28,พร้อมอนุบาล,ok
037.jpg,2.0,1.0,1.0,3.0,2.3,4.83,ยังไม่พร้อม,ok
038.jpg,5.0,1.0,7.0,3.7,2.2,5.7,พร้อมอนุบาล,ok
039.jpg,4.0,1.0,7.0,3.8,2.6,6.92,พร้อมอนุบาล,ok
040.jpg,4.0,1.0,6.0,3.8,2.8,7.45,พร้อมอนุบาล,ok
041.jpg,0.0,0.0,0.0,0.0,0.0,0.0,ตรวจเอง,height≈0
042.jpg,5.0,1.0,6.0,6.5,2.5,11.38,พร้อมอนุบาล,ok
043.jpg,2.0,1.0,1.0,2.5,0.6,1.05,ยังไม่พร้อม,ok
044.jpg,7.0,1.0,2.0,4.5,2.9,9.13,พร้อมอนุบาล,ok
045.jpg,0.0,0.0,0.0,0.0,0.0,0.0,ตรวจเอง,height≈0
046.jpg,0.0,1.0,1.0,3.9,1.7,4.64,ยังไม่พร้อม,ok
047.jpg,4.0,1.0,4.0,3.6,2.2,5.54,พร้อมอนุบาล,ok
048.jpg,5.0,1.0,3.0,5.8,3.4,13.8,พร้อมอนุบาล,ok
049.jpg,7.0,1.0,4.0,5.9,3.2,13.22,พร้อมอนุบาล,ok
050.jpg,6.0,1.0,1.0,5.5,2.7,10.4,พร้อมอนุบาล,ok
051.jpg,5.0,1.0,3.0,4.2,2.6,7.64,พร้อมอนุบาล,ok
052.jpg,4.0,1.0,1.0,5.6,2.6,10.19,พร้อมอนุบาล,ok
053.jpg,4.0,1.0,2.0,5.8,3.4,13.8,พร้อมอนุบาล,ok
054.jpg,1.0,1.0,1.0,0.2,1.4,0.2,ยังไม่พร้อม,ok
055.jpg,4.0,1.0,1.0,3.0,1.8,3.78,ยังไม่พร้อม,ok
056.jpg,4.0,1.0,1.0,0.0,2.3,0.0,ยังไม่พร้อม,height≈0
057.jpg,5.0,1.0,0.0,0.0,1.2,0.0,ยังไม่พร้อม,height≈0
058.jpg,4.0,1.0,5.0,3.0,3.0,6.3,พร้อมอนุบาล,ok
059.jpg,3.0,1.0,7.0,2.9,2.3,4.67,พร้อมอนุบาล,ok
060.jpg,3.0,1.0,3.0,3.4,2.1,5.0,พร้อมอนุบาล,ok
061.jpg,4.0,1.0,3.0,3.2,1.5,3.36,พร้อมอนุบาล,ok
062.jpg,4.0,1.0,1.0,3.0,3.0,6.3,พร้อมอนุบาล,ok
063.jpg,2.0,1.0,1.0,2.4,1.6,2.69,ยังไม่พร้อม,ok
064.jpg,4.0,1.0,5.0,2.9,1.9,3.86,พร้อมอนุบาล,ok
065.jpg,3.0,1.0,1.0,3.1,2.4,5.21,พร้อมอนุบาล,ok
066.jpg,2.0,1.0,2.0,2.2,2.0,3.08,ยังไม่พร้อม,ok
067.jpg,4.0,1.0,1.0,2.5,2.3,4.02,ยังไม่พร้อม,ok
068.jpg,5.0,1.0,2.0,5.0,2.1,7.35,พร้อมอนุบาล,ok
069.jpg,4.0,1.0,1.0,2.0,1.5,2.1,ยังไม่พร้อม,ok
070.jpg,3.0,1.0,1.0,3.4,1.2,2.86,ยังไม่พร้อม,ok
071.jpg,4.0,1.0,4.0,5.2,2.7,9.83,พร้อมอนุบาล,ok
072.jpg,2.0,1.0,1.0,1.8,2.0,2.52,ยังไม่พร้อม,ok
073.jpg,3.0,1.0,4.0,3.6,2.2,5.54,พร้อมอนุบาล,ok
074.jpg,2.0,1.0,2.0,3.0,2.5,5.25,พร้อมอนุบาล,ok
075.jpg,1.0,1.0,1.0,2.6,0.8,1.46,ยังไม่พร้อม,ok
076.jpg,4.0,1.0,3.0,3.7,1.8,4.66,พร้อมอนุบาล,ok
077.jpg,7.0,1.0,6.0,3.0,2.4,5.04,พร้อมอนุบาล,ok
078.jpg,0.0,1.0,0.0,1.2,0.2,0.17,ยังไม่พร้อม,ok
079.jpg,2.0,1.0,1.0,2.0,1.0,1.4,ยังไม่พร้อม,ok
080.jpg,0.0,1.0,1.0,0.4,0.4,0.11,ยังไม่พร้อม,ok
081.jpg,3.0,1.0,1.0,1.0,1.2,0.84,ยังไม่พร้อม,ok
082.jpg,3.0,1.0,3.0,2.0,1.1,1.54,ยังไม่พร้อม,ok
083.jpg,1.0,1.0,0.0,2.3,1.5,2.41,ยังไม่พร้อม,ok
084.jpg,4.0,1.0,1.0,4.0,2.0,5.6,ยังไม่พร้อม,ok
085.jpg,2.0,1.0,1.0,6.5,1.4,6.37,พร้อมอนุบาล,ok
086.jpg,6.0,1.0,1.0,3.2,3.0,6.72,พร้อมอนุบาล,ok
087.jpg,2.0,1.0,1.0,4.0,1.8,5.04,พร้อมอนุบาล,ok
088.jpg,5.0,1.0,1.0,6.8,2.4,11.42,พร้อมอนุบาล,ok
089.jpg,6.0,1.0,1.0,6.0,3.2,13.44,พร้อมอนุบาล,ok
090.jpg,0.0,1.0,0.0,0.5,0.2,0.07,ยังไม่พร้อม,ok
091.jpg,6.0,1.0,1.0,4.2,2.9,8.53,พร้อมอนุบาล,ok
092.jpg,5.0,1.0,2.0,3.0,2.6,5.46,พร้อมอนุบาล,ok
093.jpg,3.0,1.0,1.0,4.5,2.6,8.19,พร้อมอนุบาล,ok
094.jpg,6.0,1.0,4.0,4.2,3.0,8.82,พร้อมอนุบาล,ok
095.jpg,6.0,1.0,6.0,4.0,2.0,5.6,พร้อมอนุบาล,ok
096.jpg,2.0,1.0,1.0,2.4,1.0,1.68,ยังไม่พร้อม,ok
097.jpg,5.0,1.0,4.0,6.0,2.8,11.76,พร้อมอนุบาล,ok
098.jpg,2.0,1.0,3.0,1.5,0.6,0.63,ยังไม่พร้อม,ok
099.jpg,6.0,1.0,1.0,5.2,3.3,12.01,พร้อมอนุบาล,ok
100.jpg,9.0,1.0,10.0,6.7,3.5,16.42,พร้อมอนุบาล,ok
