total_area_px,coverage_ratio,height_proxy,width_proxy,aspect_ratio,compactness,canopy_h_cm,canopy_w_cm,hull_ratio,perimeter_px,perimeter_ratio,leaf_count,leaf_count_raw,leaf_count_method,shoot_count,root_count,stem_count,mean_leaf_area_px,leaf_area_cv,max_leaf_area_px,green_pct,greenness,dark_green_ratio,yellow_ratio,brown_ratio,healthy_color,mean_hue,mean_sat,mean_val,glare_score,condensation_score,brightness_mean,brightness_std,mean_score,min_score,score_std,image,species,verdict,readiness_index,confidence,quality_warning,note
1627629,0.328227,0.942128,0.696546,1.134002,0.500167,,,1.029269,6725.88,0.752167,8,15,prompt,2,0,2,44048.88,0.7102,115485.0,73.88,0.3806,39.14,11.61,0.44,61.84,39.99,74.19,94.21,1.07,2.12,109.04,35.59,0.6984,0.5246,0.1258,001.jpg,พริกจินดา,พร้อมอนุบาล,0.6684,0.7914,,
1866072,0.320962,0.581333,0.901703,0.561373,0.612301,,,0.760187,11135.75,1.151815,8,10,prompt,2,0,5,32983.0,0.8599,90783.0,47.16,0.3702,21.55,21.01,0.0,26.15,35.24,64.73,115.15,2.03,2.63,117.35,36.59,0.6226,0.5019,0.0984,002.jpg,พริกจินดา,พร้อมอนุบาล,0.4764,0.7838,,
706857,0.207019,0.923077,0.614369,0.773704,0.365043,,,2.306884,3988.49,0.511214,11,26,prompt,0,0,4,63234.18,0.9307,217635.0,91.41,0.4026,49.28,6.04,0.01,85.37,41.41,95.12,90.46,0.39,0.76,115.88,36.01,0.7053,0.5108,0.1223,003.jpg,พริกจินดา,พร้อมอนุบาล,0.6547,0.7969,,
1471726,0.267301,0.574901,0.763255,0.700592,0.609169,,,0.785383,9242.33,0.984064,11,28,prompt,1,0,7,69738.45,1.2379,318730.0,76.08,0.3957,46.71,14.91,0.04,61.13,39.67,91.64,96.17,2.43,3.31,120.18,39.44,0.6523,0.5052,0.1188,004.jpg,พริกจินดา,พร้อมอนุบาล,0.5344,0.7806,,
1430981,0.25635,1.0,0.771666,1.132821,0.332203,,,0.742471,10243.73,1.081475,11,16,prompt,3,0,4,50924.09,1.0012,185432.0,84.43,0.3858,32.02,5.49,0.01,78.93,42.29,77.91,105.85,2.12,2.74,124.89,35.87,0.6848,0.5397,0.1025,005.jpg,พริกจินดา,พร้อมอนุบาล,0.6815,0.783,,
1454889,0.234751,0.844668,0.751002,1.120662,0.370066,,,0.905368,8322.11,0.835721,10,13,prompt,3,0,1,35034.2,0.9999,118242.0,71.86,0.3776,38.82,10.97,0.02,60.87,41.86,68.6,98.69,1.03,1.6,117.87,34.79,0.6393,0.5103,0.0891,006.jpg,พริกจินดา,พร้อมอนุบาล,0.5864,0.7918,,
1628440,0.236681,0.970486,0.771452,1.516549,0.316129,,,1.013882,9033.53,0.857234,10,21,prompt,4,0,5,45268.6,1.2971,211361.0,81.27,0.3851,44.42,7.17,0.01,74.09,41.04,76.98,95.23,1.64,2.13,120.73,37.35,0.674,0.5093,0.1061,007.jpg,พริกจินดา,พร้อมอนุบาล,0.6533,0.7869,,
1256389,0.195247,0.951959,0.649285,1.668394,0.315886,,,1.146323,5244.41,0.515776,9,19,prompt,3,0,0,33183.22,0.8401,104083.0,78.78,0.3832,35.17,5.11,0.01,73.66,41.59,74.2,102.3,1.81,2.57,123.22,36.89,0.6939,0.5153,0.1169,008.jpg,พริกจินดา,ยังไม่พร้อม,0.6196,0.7855,,
1624415,0.231406,0.947871,0.746993,1.341299,0.326821,,,1.153215,5815.27,0.548507,8,10,prompt,4,0,0,33241.88,0.5246,66829.0,79.45,0.3809,33.16,4.1,0.01,75.34,41.96,71.52,102.72,1.67,2.19,123.79,36.21,0.7274,0.5569,0.1051,009.jpg,พริกจินดา,พร้อมอนุบาล,0.6384,0.7866,,
1402998,0.264512,0.540115,0.7197,0.620406,0.680468,,,0.856531,7574.57,0.818519,11,15,prompt,1,0,3,20658.64,0.7193,58111.0,76.3,0.3808,45.77,7.03,0.02,69.25,41.73,70.87,95.66,2.0,2.63,113.0,37.27,0.6814,0.5022,0.1372,010.jpg,พริกจินดา,พร้อมอนุบาล,0.5232,0.784,,
228172,0.039023,0.50523,0.409176,1.02114,0.188764,,,1.693877,2057.13,0.211726,5,9,prompt,0,0,1,47094.4,0.7463,97882.0,16.16,0.3786,1.99,73.62,0.0,-57.46,30.66,94.21,110.25,1.23,1.68,128.11,35.25,0.627,0.5477,0.0711,011.jpg,พริกจินดา,ยังไม่พร้อม,0.2196,0.7902,,ใบเหลืองมาก
1992568,0.229485,0.713904,0.766368,0.960432,0.419447,,,1.063605,9896.72,0.839559,11,21,prompt,2,0,8,56935.45,1.5425,316766.0,61.49,0.3846,29.62,16.25,0.18,45.06,38.61,78.78,100.82,1.13,1.75,122.62,35.9,0.6678,0.5055,0.1314,012.jpg,พริกจินดา,พร้อมอนุบาล,0.5134,0.791,,
1866809,0.212367,0.706551,0.765146,0.940391,0.392825,,,1.002004,9913.74,0.835897,9,19,prompt,2,0,12,66704.33,1.4496,324978.0,65.16,0.3869,30.63,16.42,0.05,48.7,38.97,81.05,99.83,1.26,1.93,123.61,36.17,0.6803,0.5094,0.1342,013.jpg,พริกจินดา,พร้อมอนุบาล,0.5136,0.7899,,
1168994,0.203424,0.512649,0.630332,0.621168,0.629525,,,0.833396,7694.2,0.795184,13,19,prompt,1,0,6,44360.08,0.8183,98384.0,76.58,0.3948,37.9,19.37,0.0,57.21,37.53,93.71,98.11,1.29,1.92,128.73,38.17,0.6658,0.5053,0.1205,014.jpg,พริกจินดา,พร้อมอนุบาล,0.4852,0.7897,,
1067456,0.202162,0.487969,0.630067,0.633354,0.657538,,,0.775899,7959.99,0.861657,8,15,prompt,1,0,4,55471.12,0.8644,173333.0,76.02,0.3938,40.61,20.01,0.0,56.01,37.64,92.73,95.83,1.25,1.66,125.89,37.91,0.6777,0.5008,0.1327,015.jpg,พริกจินดา,พร้อมอนุบาล,0.4755,0.79,,
2512612,0.285638,0.703877,0.807823,0.886737,0.502347,,,0.862921,9167.51,0.772717,10,15,prompt,3,0,0,48952.8,0.688,123141.0,41.46,0.3758,24.91,27.55,0.28,13.63,36.22,74.99,102.67,1.26,2.25,124.68,37.78,0.6607,0.5085,0.1274,016.jpg,พริกจินดา,พร้อมอนุบาล,0.4784,0.7899,,
1408840,0.161644,0.696524,0.529008,1.352369,0.438694,,,0.802776,8852.43,0.749571,6,16,prompt,2,0,0,82984.67,0.7875,183320.0,62.56,0.3911,39.8,26.12,0.02,36.42,38.82,90.24,91.63,1.3,2.16,122.78,37.85,0.6846,0.5016,0.1139,017.jpg,พริกจินดา,ยังไม่พร้อม,0.4775,0.7896,,
